[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting change_table in e_logs.common.all_journals_app.views, line 171
[12/Aug/2018 13:05:43] DEBUG [CALL:32] Exiting wrapper in e_logs.core.utils.webutils, line 53
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call get in e_logs.common.all_journals_app.views, line 27
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call get_context in e_logs.common.all_journals_app.views, line 58
[12/Aug/2018 13:05:43] DEBUG [CALL:29] Call get_shift in e_logs.common.all_journals_app.views, line 35
